Date,Day,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,FFR,DXY,CPI,Close_Next
2015-01-02,1,103.76000213623047,104.19999694824219,102.44000244140625,102.94000244140625,31314600.0,-13522158.104089541,31314600.0,-0.43181640845131475,0.0,50.0,0.0,0.0,-10870427.648744075,1000.0,103.19333394368489,0.0,102.94000244140625,102.94000244140625,102.94000244140625,0.0,0.0,0.0,0.0,103.19333394368489,104.95332845052083,101.43333943684895,3.4110624002058296,0.4280305985914489,0.0,0.0,102.44000244140625,104.19999694824219,103.31999969482422,1.709728448702662,0.2840917957743426,0.0,0.0,0.0,102.94000244140625,102.94000244140625,102.94000244140625,102.94000244140625,0.0,0.0,0.0,0.0,0.0,0.0,-33.503924191774075,1.0,0.0,54.400426234031215,-345.7498285214962,-345.7498285214962,0.0,103.31999969482422,103.31999969482422,103.31999969482422,103.31999969482422,155.67254786329204,152.83192229238497,4.0,4.0,0.0,-1.0,-1.0,0.0,0.0,100.0,0.0,0.0,28.409179577434262,28.409179577434262,-71.59082042256574,0.0,102.94000244140625,0.0,-34.574982852149624,0.0,0.0,0.12,102.8979,236.222,101.43000030517578
2015-01-05,2,102.48999786376953,102.61000061035156,101.13999938964844,101.43000030517578,36521300.0,-35633659.95278891,-5206700.0,-0.5252920644200034,-55147241.01791382,0.0,-5.816198534299832,-5.816198534299832,-11362739.745655406,1000.0,102.40371381763029,0.0,102.18500137329102,103.69500350952148,100.67499923706055,2.9554281272929575,0.25,0.0,0.0,102.4600003560384,104.07499821980794,100.84500249226888,3.152445555646248,0.18111411353247092,0.0,0.0,101.13999938964844,104.19999694824219,102.66999816894531,2.99456624501604,0.09477161663508527,-0.12045601086737179,-0.02409120217347436,-0.09636480869389744,102.18500137329102,102.18500137329102,102.70769442044772,102.8281504313151,0.0,0.0,0.0,0.0029981813380718014,0.053967802310108524,-0.05096962097203672,-0.0028649920850777524,1.9734619855685147,-66.66666666666667,55.15542730214645,-350.54834772263973,-348.14908812206795,-2.3992596005717814,102.66999816894531,102.66999816894531,102.66999816894531,102.66999816894531,155.67254786329204,152.83192229238497,4.0,8.0,-4.0,-1.0,-1.0,0.0,0.0,0.0,-100.0,8.146098719289522,9.477161663508527,18.943170620471395,-90.52283833649147,0.0,102.16279051665818,0.0,-1.4668759475598092,-1.4777409544759479,-1.4668759475598092,0.12,103.492,236.222,100.06999969482422
2015-01-06,3,101.58000183105469,101.75,99.62000274658203,100.06999969482422,66205500.0,-73865158.6633121,-71412200.0,-0.5510622737699853,-60131852.35944475,0.0,-3.828524528115174,-4.822361531207503,-1423423.2414267503,1000.0,101.4535567670851,0.0,101.48000081380208,103.8244148725066,99.13558675509756,4.620445486605981,0.19928496339144902,0.0,0.0,101.8000005086263,103.58666483561198,100.01333618164062,3.5101460079742957,0.015857347216192537,0.0,0.0,99.62000274658203,104.19999694824219,101.90999984741211,4.513198822360712,0.09825273317574783,-0.32194773746255123,-0.08366250923128973,-0.2382852282312615,101.48000081380208,101.48000081380208,102.30189523189026,102.62384296935281,0.0,0.0,0.0,0.013258424682286673,0.10283786432062188,-0.0895794396383352,-0.0101012813540783,2.991318982585456,-94.7368132860968,55.86042786163539,-355.0290814121558,-350.4424192187639,-4.586662193391874,101.90999984741211,101.90999984741211,101.90999984741211,101.90999984741211,155.67254786329204,152.83192229238497,4.0,12.0,-8.0,-1.0,104.19999694824219,0.0,1.0,0.0,-100.0,13.005246721972004,9.825273317574782,15.903871519505858,-90.17472668242522,0.0,101.08693822360226,0.0,-1.3408267832590748,-1.3498970343896133,-2.7880344652368216,0.12,103.2871,236.222,101.36000061035156
2015-01-07,4,100.7300033569336,101.5999984741211,100.48999786376953,101.36000061035156,37577400.0,-52537291.576914415,-33834800.0,-0.3061278343451557,-44616604.821933046,26.826843165140716,1.0633962512065132,-2.860442270402831,-403291.3572840111,1012.8909855047604,101.38709020115425,0.0,101.45000076293945,103.4829808404635,99.41702068541541,4.007846352361407,0.4778649693661776,0.0,0.0,101.63750012715657,103.25499852498372,100.02000172932942,3.1828771778202527,0.4142195388948191,0.0,0.0,99.62000274658203,104.19999694824219,101.90999984741211,4.514533432446525,0.37991267830400677,-0.3732366497960413,-0.14157733734424005,-0.23165931245180127,101.45000076293945,101.45000076293945,102.15698836703815,102.5302250168342,0.0,0.0,0.0,0.04572523291995167,0.12110579937137758,-0.0753805664514259,-0.01748926854328168,3.9433033949816805,-39.51375957442368,55.89042791249801,-355.21975110280806,-351.63675218977494,-3.582998913033123,101.90999984741211,101.90999984741211,101.90999984741211,101.90999984741211,155.67254786329204,152.83192229238497,4.0,12.0,-8.0,-1.0,104.10839706420899,0.0,0.0,33.46435860052053,-98.11573010855402,28.116351539987253,37.99126783040068,19.09790093716133,-62.00873216959932,0.0,101.22439768524643,0.0,1.289098550476031,1.2808603981763866,-1.5348764266389314,0.12,103.623,236.222,103.30000305175781
2015-01-08,5,102.22000122070312,103.5,102.11000061035156,103.30000305175781,40212600.0,-23896491.306866664,6377800.0,-0.1128090137102746,-27098155.250900768,43.37524822896346,6.083670031632618,-0.6244141948939688,1254067.786046071,1012.8909855047604,101.6875790222861,0.0,101.82000122070312,104.16452927905793,99.47547316234831,4.605240680115209,0.815628944123883,0.0,0.0,101.90400034586588,103.47599894205727,100.33200174967448,3.0852539465692783,0.9440216134016087,0.0,0.0,99.62000274658203,104.19999694824219,101.90999984741211,4.498128213269854,0.8034945336485043,-0.2544088319417881,-0.16414363626374967,-0.09026519567803842,101.82000122070312,101.82000122070312,102.33283678007194,102.58724561201373,0.0,0.0,0.0,0.09231931894878453,0.12511914489125397,-0.03279982594246944,-0.02094751126611402,4.879733523227696,75.43166991162335,55.520427454734346,-352.86815932898037,-351.883033617616,-0.9851257113643896,101.90999984741211,101.90999984741211,101.90999984741211,101.90999984741211,155.67254786329204,152.83192229238497,20.0,12.0,8.0,-1.0,104.01862917785645,0.0,0.0,56.85038277440678,-93.81948998752966,42.41457476282427,80.34945336485043,42.721998170941966,-19.650546635149563,0.0,102.18608441857738,0.0,1.9139724050160734,1.8958863633756984,0.3497188671201634,0.12,103.2705,236.222,102.62000274658203
2015-01-09,6,103.62000274658203,103.6500015258789,102.0199966430664,102.62000274658203,41410100.0,-34820409.32154501,-35032300.0,-0.13749882748895823,-27249687.448966317,35.1951462635453,0.1180826820807503,-0.4759148194990249,497064.84560211474,1012.8909855047604,101.86348662918805,0.0,101.95333480834961,104.1750983928858,99.73157122381342,4.358393158424155,0.6500312505958175,0.0,0.0,102.04722256130641,103.62888887193468,100.46555625067816,3.0998713554953397,0.6810685924795655,0.0,0.0,99.62000274658203,104.19999694824219,101.90999984741211,4.492245604589161,0.6550226633283859,-0.21265590689115754,-0.17384609038923124,-0.0388098165019263,101.95333480834961,101.95333480834961,102.37701615953503,102.58967206642619,0.0,0.0,0.0,0.11398641183628745,0.1450170084790461,-0.03103059664275866,-0.022873841803689003,5.831136338486416,51.42626854423094,55.387093867087856,-352.02073830204563,-351.9059843983543,-0.1147539036913372,101.90999984741211,101.90999984741211,101.90999984741211,101.90999984741211,155.67254786329204,152.83192229238497,20.0,12.0,8.0,-1.0,103.93065664923097,0.0,0.0,50.19119722459931,-90.43801181366176,41.58333223416345,65.50226633283859,61.28099584269657,-34.49773366716141,-0.24516665140788518,102.39160488349259,0.0,-0.6582771394837872,-0.6604533389856115,-0.31086039171833724,0.12,103.1112,236.222,101.55000305175781
2015-01-12,7,102.81999969482422,102.93000030517578,101.29000091552734,101.55000305175781,34129800.0,-58128472.47806861,-69162100.0,-0.20227654076126814,-28573857.182601362,30.49409115253242,-3.483750432333744,-0.9772207549714782,-628458.3026865006,1002.3297594633159,101.87059452287546,0.0,101.89571598597935,103.9719470690985,99.8194849028602,4.075207800502309,0.41674507307197994,0.0,0.0,102.02952430361792,103.61952391124906,100.43952469598678,3.116744135549717,0.3492071162915191,0.0,0.0,99.62000274658203,104.19999694824219,101.90999984741211,4.4947858281798165,0.42139798004027923,-0.26287617309797895,-0.19165210693098078,-0.07122406616699817,101.89571598597935,101.89571598597935,102.24978337372315,102.51265954682113,0.0,0.0,0.0,0.12498019775917966,0.1772833755660363,-0.05230317780685663,-0.025677961294395774,6.795187129824185,-8.730346579673096,55.444712689458115,-352.3869431157437,-351.97469278655274,-0.41225032919095383,101.90999984741211,101.90999984741211,101.90999984741211,101.90999984741211,155.67254786329204,152.83192229238497,20.0,12.0,8.0,-1.0,103.84444357117799,0.0,0.0,41.878562158090894,-87.80510969287108,38.24236350599448,42.139798004027924,62.663839233905655,-57.860201995972076,-0.2004285539899513,102.03587476789733,0.0,-1.042681413161295,-1.048155420023722,-1.3503005213542973,0.12,103.2266,236.222,101.5199966430664
2015-01-13,8,102.54000091552734,103.62000274658203,100.69999694824219,101.5199966430664,56162300.0,-82747637.26456356,-125324400.0,-0.24087203483025696,-24732624.57463679,43.02085850481503,0.2599574129431403,-0.8004810166979613,-372460.1461997899,1002.3297594633159,101.88303091338793,0.0,101.84875106811523,103.80672279160255,99.89077934462792,3.844861528400776,0.416047197948475,0.0,0.0,102.01916694641112,103.77541732788085,100.26291656494139,3.442981224091458,0.3578874889903286,0.0,0.0,99.62000274658203,104.19999694824219,101.90999984741211,4.496858482434518,0.4148463541276243,-0.3016204692741553,-0.2136457793996157,-0.0879746898745396,101.84875106811523,101.84875106811523,102.13750849208365,102.43912896135781,0.0,0.0,0.0,0.15358765868505403,0.20221166256613796,-0.04862400388108393,-0.02895803088926331,7.889222397374272,-6.7384460225179845,55.49167760732223,-352.68543548836203,-352.0635356242789,-0.6218998640831046,101.90999984741211,101.90999984741211,101.90999984741211,101.90999984741211,155.67254786329204,152.83192229238497,20.0,12.0,8.0,-1.0,103.75995475468608,0.0,0.0,41.67013652334428,-85.67449801794977,38.98434417545902,41.48463541276243,49.70889991654298,-58.51536458723757,0.08662471771239666,101.80671398498872,0.0,-0.02954840747381171,-0.029552773875884952,-1.3794499365279433,0.12,103.2585,236.222,100.95999908447266
2015-01-14,9,100.5,101.4800033569336,100.06999969482422,100.95999908447266,51354200.0,-69271925.28049326,-176678600.0,-0.17542179140630138,-25307710.581622273,36.99120559667945,-3.8027127389330455,-1.1757599819773468,-299871.5386005042,996.8007776196816,101.74695387522458,0.0,101.75000084771051,103.67866442347835,99.82133727194267,3.790984883930327,0.29519451366127014,0.0,0.0,101.88777810555916,103.60555662932218,100.16999958179615,3.371903000933713,0.22994800893945053,0.0,0.0,99.62000274658203,104.19999694824219,101.90999984741211,4.501222765113335,0.2925759900318003,-0.3732105866871933,-0.24555874085713125,-0.12765184583006206,101.75000084771051,101.75000084771051,101.95635319860504,102.32956378529224,0.0,0.0,0.0,0.16153321531461687,0.24864417913240236,-0.08711096381778549,-0.03342499422622026,8.920852954623513,-93.9112630743604,55.590427827726955,-353.31305689015977,-352.2023713204879,-1.1106855696718867,101.90999984741211,101.90999984741211,101.90999984741211,101.90999984741211,155.67254786329204,152.83192229238497,20.0,12.0,8.0,-1.0,103.67715571452399,0.0,0.0,37.881021024555196,-83.98691075564689,43.06057336233189,29.25759900318003,37.62734413999013,-70.74240099681997,0.1803335401747006,101.45724940728277,0.0,-0.5516130586200152,-0.553140061472579,-1.9234537691609432,0.12,103.0783,236.222,99.6500015258789
2015-01-15,10,101.43000030517578,101.58999633789062,99.52999877929688,99.6500015258789,51005400.0,-114334805.52848591,-227684000.0,-0.25641746841729346,-31237601.852118753,32.49392144429116,-0.8683544246205155,-1.1416038089376987,-945092.5399208391,983.8668770954396,101.57648087348045,1.905999755859375,101.54000091552734,103.76156969552353,99.31843213553115,4.3757509552207825,0.07462505625153794,0.0,0.0,101.72466684977213,103.47666727701821,99.97266642252603,3.4445930992007225,-0.09208470832233537,0.0,1.0,99.52999877929688,104.19999694824219,101.86499786376953,4.599170895054802,0.025696529686034773,-0.5295478276628813,-0.3023565582182813,-0.22719126944460005,101.54000091552734,101.54000091552734,101.60152986433948,102.13107769200236,0.0,0.0,0.0,0.1779768656589532,0.26855816288413636,-0.09058129722518315,-0.04092239632698101,9.971341747067852,-117.19629809828447,55.80042775991012,-354.64774203085136,-353.19102837708294,-1.4567136537684178,101.59000015258789,101.86499786376953,101.72749900817871,101.86499786376953,155.67254786329204,152.83192229238497,20.0,40.0,-20.0,-1.0,103.62000274658203,0.0,0.0,30.820699920143426,-82.76414158054733,40.27719406458524,2.569652968603477,24.437295794848648,-97.43034703139652,-0.12900009155274006,100.7061728263327,0.0,-1.2975411751912636,-1.3060327753498413,-3.196037339711566,0.12,103.0786,236.222,100.81999969482422
