Date,Day,Close,Close_Next
2015-01-02,1,177.94000244140625,174.83999633789062
2015-01-05,2,174.83999633789062,173.38999938964844
2015-01-06,3,173.38999938964844,175.58999633789062
2015-01-07,4,175.58999633789062,178.75999450683594
2015-01-08,5,178.75999450683594,177.22000122070312
2015-01-09,6,177.22000122070312,176.24000549316406
2015-01-12,7,176.24000549316406,175.97999572753906
2015-01-13,8,175.97999572753906,174.05999755859375
2015-01-14,9,174.05999755859375,173.05999755859375
2015-01-15,10,173.05999755859375,174.6699981689453
2015-01-16,11,174.6699981689453,174.89999389648438
2015-01-20,12,174.89999389648438,175.35000610351562
2015-01-21,13,175.35000610351562,177.9199981689453
2015-01-22,14,177.9199981689453,176.41000366210938
2015-01-23,15,176.41000366210938,176.5
2015-01-26,16,176.5,173.58999633789062
2015-01-27,17,173.58999633789062,171.72000122070312
2015-01-28,18,171.72000122070312,173.89999389648438
2015-01-29,19,173.89999389648438,171.4499969482422
2015-01-30,20,171.4499969482422,173.27000427246094
2015-02-02,21,173.27000427246094,176.3300018310547
2015-02-03,22,176.3300018310547,176.52999877929688
2015-02-04,23,176.52999877929688,178.5500030517578
2015-02-05,24,178.5500030517578,178.08999633789062
2015-02-06,25,178.08999633789062,177.08999633789062
2015-02-09,26,177.08999633789062,178.50999450683594
2015-02-10,27,178.50999450683594,178.6999969482422
2015-02-11,28,178.6999969482422,179.83999633789062
2015-02-12,29,179.83999633789062,180.33999633789062
2015-02-13,30,180.33999633789062,180.57000732421875
2015-02-17,31,180.57000732421875,180.47000122070312
2015-02-18,32,180.47000122070312,180.08999633789062
2015-02-19,33,180.08999633789062,181.13999938964844
2015-02-20,34,181.13999938964844,180.9199981689453
2015-02-23,35,180.9199981689453,181.91000366210938
2015-02-24,36,181.91000366210938,181.9600067138672
2015-02-25,37,181.9600067138672,182.00999450683594
2015-02-26,38,182.00999450683594,181.19000244140625
2015-02-27,39,181.19000244140625,182.67999267578125
2015-03-02,40,182.67999267578125,181.8699951171875
2015-03-03,41,181.8699951171875,180.77999877929688
2015-03-04,42,180.77999877929688,181.1699981689453
2015-03-05,43,181.1699981689453,178.39999389648438
2015-03-06,44,178.39999389648438,179.8000030517578
2015-03-09,45,179.8000030517578,176.69000244140625
2015-03-10,46,176.69000244140625,176.35000610351562
2015-03-11,47,176.35000610351562,178.97000122070312
2015-03-12,48,178.97000122070312,177.55999755859375
2015-03-13,49,177.55999755859375,179.77999877929688
2015-03-16,50,179.77999877929688,178.5
2015-03-17,51,178.5,180.72999572753906
2015-03-18,52,180.72999572753906,179.66000366210938
2015-03-19,53,179.66000366210938,180.9600067138672
2015-03-20,54,180.9600067138672,180.85000610351562
2015-03-23,55,180.85000610351562,179.8300018310547
2015-03-24,56,179.8300018310547,176.9199981689453
2015-03-25,57,176.9199981689453,176.47999572753906
2015-03-26,58,176.47999572753906,176.80999755859375
2015-03-27,59,176.80999755859375,179.38999938964844
2015-03-30,60,179.38999938964844,177.5800018310547
2015-03-31,61,177.5800018310547,176.74000549316406
2015-04-01,62,176.74000549316406,177.3300018310547
2015-04-02,63,177.3300018310547,178.58999633789062
2015-04-06,64,178.58999633789062,178.4199981689453
2015-04-07,65,178.4199981689453,178.75
2015-04-08,66,178.75,179.39999389648438
2015-04-09,67,179.39999389648438,180.3699951171875
2015-04-10,68,180.3699951171875,179.63999938964844
2015-04-13,69,179.63999938964844,180.17999267578125
2015-04-14,70,180.17999267578125,180.8800048828125
2015-04-15,71,180.8800048828125,180.91000366210938
2015-04-16,72,180.91000366210938,177.94000244140625
2015-04-17,73,177.94000244140625,180.02999877929688
2015-04-20,74,180.02999877929688,179.25999450683594
